order_no,order_date,order_status,customer_type,customer_legacy_code
EB2B1000000483,2025-07-27,P,I,GC60841764
EB2B1000000484,2025-06-24,C,I,GC27608451
EB2B1000000485,2025-06-05,C,I,GC46586258
EB2B1000000486,2025-06-18,C,I,GC29241916
EB2B1000000487,2025-06-27,C,D,GC77418191
EB2B1000000488,2025-07-12,P,I,GC42232378
EB2B1000000489,2025-06-02,X,I,GC98126056
EB2B1000000490,2025-06-20,X,I,GC51420243
EB2B1000000491,2025-07-20,C,I,GC42026965
EB2B1000000492,2025-06-03,C,I,GC92141673
EB2B1000000493,2025-07-28,C,I,GC59067682
EB2B1000000494,2025-06-08,C,D,GC16307591
EB2B1000000495,2025-06-20,X,I,GC11910266
EB2B1000000496,2025-06-10,C,I,GC74992661
EB2B1000000497,2025-06-17,C,I,GC75631212
EB2B1000000498,2025-06-30,P,I,GC70515891
EB2B1000000499,2025-07-30,C,I,GC85928927
EB2B1000000500,2025-07-30,C,I,GC43544016
EB2B1000000501,2025-07-27,P,I,GC34661114
EB2B1000000502,2025-07-22,C,I,GC17506180
EB2B1000000503,2025-07-29,C,I,GC64922351
EB2B1000000504,2025-06-14,C,I,GC68109521
EB2B1000000505,2025-06-08,C,I,GC33974297
EB2B1000000506,2025-07-29,C,I,GC89972230
EB2B1000000507,2025-07-11,C,I,GC20398669
EB2B1000000508,2025-07-18,C,D,GC82470537
EB2B1000000509,2025-07-31,C,D,GC93464930
EB2B1000000510,2025-07-14,C,I,GC98037888
EB2B1000000511,2025-07-21,C,D,GC40980376
EB2B1000000512,2025-06-02,C,D,GC47056223
EB2B1000000513,2025-07-27,C,D,GC27900736
EB2B1000000514,2025-07-30,C,I,GC92243262
EB2B1000000515,2025-07-30,C,I,GC90492828
EB2B1000000516,2025-07-01,C,I,GC63179019
EB2B1000000517,2025-06-12,C,I,GC87618586
EB2B1000000518,2025-06-01,P,D,GC20170987
EB2B1000000519,2025-06-08,P,I,GC50630244
EB2B1000000520,2025-06-06,C,I,GC67911411
EB2B1000000521,2025-07-17,C,D,GC72864748
EB2B1000000522,2025-06-16,C,I,GC24243111
EB2B1000000523,2025-06-30,C,I,GC26212004
EB2B1000000524,2025-07-26,C,D,GC52161262
EB2B1000000525,2025-07-27,C,I,GC90108005
EB2B1000000526,2025-07-08,C,D,GC59264742
EB2B1000000527,2025-07-15,P,I,GC60350701
EB2B1000000528,2025-07-06,C,I,GC38168948
EB2B1000000529,2025-06-18,C,I,GC38150713
EB2B1000000530,2025-06-18,C,D,GC85910136
EB2B1000000531,2025-06-02,P,I,GC55582551
EB2B1000000532,2025-07-15,C,I,GC20395193
EB2B1000000533,2025-07-07,C,I,GC67805041
EB2B1000000534,2025-07-01,C,D,GC19617612
EB2B1000000535,2025-06-05,C,I,GC30905527
