customer_code,customer_legacy_code,cust_direct,business_type,business_type_description,state,region,city,channel,sales_rep_id,outlet_creation_date
5646412689,GC95573823,Indirect,23,Retailer,West Bengal,East,Chennai,GT,SR507,2022-04-11
5028492780,GC32452379,Indirect,19,Rural,West Bengal,East,Delhi,eCom,SR795,2023-03-31
5602632297,GC38300713,Indirect,17,Wholesaler,Karnataka,South,Bangalore,GT,SR326,2024-01-27
5213500298,GC87545284,Direct,16,Wholesaler,Delhi,North,Chennai,GT,SR553,2023-04-18
5768820204,GC56315279,Indirect,17,Wholesaler,Delhi,North,Bangalore,MT,SR225,2023-08-22
5697808098,GC17291483,Indirect,17,Rural,Karnataka,South,Delhi,eCom,SR794,2024-02-03
5753041955,GC96202825,Direct,11,Wholesaler,West Bengal,East,Bangalore,eCom,SR340,2024-04-18
5585126461,GC45486562,Indirect,25,Wholesaler,Karnataka,South,Bangalore,eCom,SR421,2024-04-07
5450455977,GC25568500,Direct,18,Online,Maharashtra,West,Bangalore,MT,SR358,2024-02-06
5236696312,GC17049544,Direct,22,Online,Tamil Nadu,South,Bangalore,eCom,SR116,2023-10-10
5482334538,GC32494944,Indirect,21,Retailer,West Bengal,East,Kolkata,MT,SR479,2023-10-30
5632719211,GC72279029,Indirect,26,Retailer,Karnataka,South,Chennai,MT,SR788,2023-10-21
5298704996,GC63518621,Indirect,11,Modern Trade,Delhi,North,Mumbai,MT,SR888,2022-04-07
5869119330,GC73918769,Indirect,22,Rural,Maharashtra,West,Chennai,eCom,SR737,2023-10-23
5933404114,GC50448811,Direct,10,Online,West Bengal,East,Kolkata,GT,SR360,2023-05-30
5006977991,GC73923372,Indirect,28,Retailer,Maharashtra,West,Kolkata,GT,SR158,2024-01-20
5814763202,GC81473736,Indirect,20,Rural,West Bengal,East,Delhi,MT,SR716,2024-06-16
5865241839,GC41361490,Direct,14,Wholesaler,Delhi,North,Delhi,MT,SR780,2023-09-12
5171432881,GC60975999,Indirect,10,Rural,Karnataka,South,Kolkata,MT,SR571,2023-05-14
5749621470,GC62354374,Direct,29,Online,Delhi,North,Mumbai,GT,SR496,2022-09-14
5453778756,GC73698335,Indirect,22,Modern Trade,West Bengal,East,Bangalore,MT,SR691,2023-10-02
5365341213,GC45248951,Direct,17,Online,Karnataka,South,Chennai,GT,SR547,2024-03-22
5298362082,GC29481680,Indirect,15,Retailer,West Bengal,East,Bangalore,MT,SR476,2022-10-23
5166944844,GC81194737,Indirect,26,Retailer,Tamil Nadu,South,Chennai,MT,SR102,2023-11-07
5231191390,GC68349054,Indirect,21,Rural,Maharashtra,West,Chennai,GT,SR124,2024-05-12
5819795579,GC11592230,Indirect,10,Online,Tamil Nadu,South,Kolkata,eCom,SR159,2023-07-11
5361415646,GC48761035,Direct,12,Retailer,Delhi,North,Bangalore,MT,SR765,2023-11-02
5109747451,GC70239684,Indirect,23,Wholesaler,Maharashtra,West,Delhi,GT,SR639,2024-01-11
5099585092,GC61271721,Indirect,17,Wholesaler,West Bengal,East,Chennai,GT,SR727,2023-03-28
5407943839,GC52371009,Indirect,20,Modern Trade,West Bengal,East,Kolkata,eCom,SR392,2023-11-12
5103848421,GC81169409,Indirect,23,Rural,Karnataka,South,Delhi,eCom,SR794,2023-07-12
5385451171,GC15505291,Indirect,17,Retailer,Delhi,North,Mumbai,MT,SR675,2024-03-27
5909990148,GC23068017,Indirect,12,Modern Trade,West Bengal,East,Bangalore,MT,SR394,2023-01-13
5369319644,GC81308986,Direct,16,Wholesaler,Delhi,North,Kolkata,GT,SR970,2022-09-10
5648245888,GC95553621,Direct,28,Modern Trade,West Bengal,East,Chennai,MT,SR547,2023-08-14
5284027113,GC57490002,Direct,13,Modern Trade,Maharashtra,West,Kolkata,eCom,SR821,2022-02-15
5866647391,GC67953319,Indirect,25,Retailer,Karnataka,South,Kolkata,GT,SR395,2023-03-31
5046654552,GC91937985,Indirect,22,Retailer,Tamil Nadu,South,Kolkata,eCom,SR445,2023-07-23
5783543540,GC97518806,Direct,29,Retailer,Delhi,North,Chennai,GT,SR339,2023-12-13
5493303705,GC46586490,Indirect,28,Rural,West Bengal,East,Mumbai,GT,SR625,2023-02-25
5575770529,GC54958564,Indirect,14,Modern Trade,West Bengal,East,Chennai,eCom,SR297,2024-05-19
5134031070,GC46282557,Direct,14,Modern Trade,Delhi,North,Bangalore,eCom,SR279,2023-09-18
5990307112,GC45847919,Indirect,29,Rural,Karnataka,South,Chennai,MT,SR193,2022-02-06
5406448196,GC23190487,Direct,13,Wholesaler,Maharashtra,West,Chennai,eCom,SR153,2023-02-03
5084611066,GC44271680,Indirect,11,Online,Tamil Nadu,South,Delhi,GT,SR258,2023-07-13
5592749116,GC97824468,Direct,22,Wholesaler,Delhi,North,Kolkata,eCom,SR790,2022-03-09
5314797776,GC88406887,Indirect,25,Rural,West Bengal,East,Delhi,MT,SR656,2022-05-03
5890566476,GC62499769,Indirect,11,Modern Trade,Karnataka,South,Kolkata,eCom,SR964,2022-12-22
5674996843,GC71888947,Direct,28,Modern Trade,Karnataka,South,Kolkata,GT,SR398,2022-09-08
5664130526,GC42453439,Direct,26,Retailer,West Bengal,East,Bangalore,eCom,SR313,2023-11-01
5950746571,GC89017236,Indirect,14,Retailer,West Bengal,East,Mumbai,MT,SR212,2022-07-15
5925250736,GC36162482,Indirect,27,Modern Trade,Tamil Nadu,South,Chennai,eCom,SR101,2024-06-13
5388302652,GC79786819,Indirect,27,Modern Trade,Karnataka,South,Bangalore,GT,SR930,2023-06-20
5619927151,GC55285947,Indirect,17,Retailer,Maharashtra,West,Delhi,MT,SR934,2023-04-12
5206468299,GC34148004,Direct,24,Retailer,Maharashtra,West,Kolkata,eCom,SR673,2023-04-09
5756528252,GC52046364,Indirect,22,Wholesaler,Karnataka,South,Mumbai,GT,SR391,2022-08-06
5074684276,GC83499313,Direct,22,Modern Trade,Maharashtra,West,Kolkata,MT,SR759,2022-05-12
5049203558,GC11419753,Indirect,25,Modern Trade,West Bengal,East,Chennai,GT,SR349,2023-04-18
5710026086,GC11137651,Indirect,29,Rural,Maharashtra,West,Chennai,eCom,SR316,2022-02-26
5244703907,GC19120357,Indirect,22,Wholesaler,Tamil Nadu,South,Bangalore,eCom,SR451,2023-12-14
5830075810,GC11605433,Direct,29,Online,Tamil Nadu,South,Mumbai,MT,SR462,2024-01-14
5310727955,GC65196875,Indirect,11,Online,Tamil Nadu,South,Delhi,eCom,SR519,2024-03-18
5085675980,GC23112905,Indirect,12,Online,Karnataka,South,Kolkata,MT,SR535,2023-11-22
5918390409,GC80499776,Indirect,24,Retailer,West Bengal,East,Mumbai,MT,SR877,2024-06-18
5249957310,GC23946199,Indirect,28,Online,Maharashtra,West,Mumbai,GT,SR612,2022-08-18
5930379756,GC69853349,Indirect,22,Rural,West Bengal,East,Mumbai,GT,SR715,2022-05-15
5108449460,GC57179735,Indirect,14,Retailer,Karnataka,South,Kolkata,GT,SR193,2023-03-22
5408157429,GC39449560,Direct,15,Retailer,Karnataka,South,Bangalore,MT,SR280,2023-06-09
5298471886,GC48023482,Indirect,23,Online,West Bengal,East,Kolkata,eCom,SR612,2024-03-19
5486845604,GC43808923,Indirect,13,Retailer,West Bengal,East,Mumbai,GT,SR253,2022-12-05
5682560971,GC35914696,Indirect,28,Wholesaler,Delhi,North,Delhi,eCom,SR829,2023-12-23
5895619255,GC14569008,Indirect,16,Wholesaler,Tamil Nadu,South,Mumbai,eCom,SR529,2022-08-21
5391735568,GC13181023,Indirect,13,Online,West Bengal,East,Mumbai,GT,SR138,2023-02-10
5174648506,GC93134088,Indirect,11,Rural,Tamil Nadu,South,Mumbai,MT,SR835,2023-02-27
5397478786,GC22340150,Indirect,16,Retailer,Tamil Nadu,South,Kolkata,GT,SR165,2022-12-04
5381469012,GC17634560,Direct,12,Modern Trade,Maharashtra,West,Mumbai,eCom,SR304,2023-08-03
5224956459,GC89743930,Direct,24,Online,Maharashtra,West,Kolkata,GT,SR303,2024-01-13
5719595113,GC98128100,Direct,10,Retailer,Delhi,North,Mumbai,GT,SR739,2024-02-10
5286665249,GC39101720,Indirect,11,Online,West Bengal,East,Bangalore,eCom,SR133,2022-10-12
5753573823,GC90448089,Indirect,19,Online,Delhi,North,Chennai,GT,SR830,2022-08-12
5733953718,GC95642035,Indirect,25,Rural,Maharashtra,West,Bangalore,MT,SR782,2022-01-31
5695822698,GC26346394,Indirect,24,Modern Trade,Tamil Nadu,South,Delhi,GT,SR137,2022-04-25
5076667861,GC26103055,Direct,24,Retailer,Tamil Nadu,South,Mumbai,GT,SR982,2022-11-19
5654049436,GC21594582,Indirect,23,Online,Maharashtra,West,Delhi,MT,SR970,2023-01-18
5681802744,GC91159552,Indirect,23,Online,Karnataka,South,Mumbai,GT,SR207,2022-11-03
5183758720,GC27435856,Direct,15,Retailer,Maharashtra,West,Mumbai,eCom,SR325,2024-01-04
5573528321,GC60460287,Direct,23,Online,Tamil Nadu,South,Chennai,MT,SR352,2022-12-08
5782893941,GC98099795,Direct,26,Online,Maharashtra,West,Delhi,GT,SR807,2023-06-06
5262863730,GC96960449,Direct,27,Online,Karnataka,South,Chennai,GT,SR717,2022-02-21
5175452091,GC85976468,Indirect,29,Wholesaler,Maharashtra,West,Chennai,MT,SR826,2023-04-24
5496348124,GC34799223,Indirect,28,Wholesaler,Tamil Nadu,South,Mumbai,eCom,SR108,2022-04-04
5407437181,GC24877375,Indirect,26,Modern Trade,Karnataka,South,Mumbai,GT,SR649,2023-10-08
5289854268,GC34731360,Indirect,25,Rural,Karnataka,South,Bangalore,MT,SR769,2024-04-19
5993631208,GC44002147,Indirect,17,Retailer,Delhi,North,Delhi,MT,SR909,2022-06-28
5687194506,GC49536330,Direct,16,Rural,West Bengal,East,Bangalore,GT,SR245,2024-01-12
5738908273,GC72673716,Indirect,29,Rural,Maharashtra,West,Mumbai,MT,SR956,2024-02-14
5598020238,GC98647835,Indirect,21,Wholesaler,Delhi,North,Bangalore,eCom,SR243,2023-12-09
5235809993,GC20162184,Indirect,18,Modern Trade,Delhi,North,Delhi,MT,SR972,2024-05-27
5735098955,GC95735668,Indirect,23,Rural,Maharashtra,West,Chennai,GT,SR747,2022-08-21
5348195935,GC70860191,Indirect,29,Rural,Karnataka,South,Mumbai,eCom,SR568,2022-02-03
5905005353,GC47095573,Direct,10,Online,Karnataka,South,Delhi,eCom,SR886,2022-02-23
5824970419,GC67308741,Direct,19,Retailer,Tamil Nadu,South,Kolkata,eCom,SR166,2024-04-02
5833223566,GC99600963,Indirect,26,Modern Trade,West Bengal,East,Kolkata,MT,SR594,2023-09-21
5060062915,GC53406567,Indirect,26,Retailer,Maharashtra,West,Mumbai,MT,SR705,2022-03-08
5245938494,GC44539133,Indirect,26,Wholesaler,Karnataka,South,Delhi,GT,SR600,2024-01-29
5882403818,GC31738712,Direct,13,Rural,West Bengal,East,Delhi,eCom,SR345,2022-01-05
5034467368,GC19931717,Indirect,26,Rural,Maharashtra,West,Kolkata,MT,SR829,2023-03-31
5864411347,GC47216895,Indirect,27,Retailer,Tamil Nadu,South,Mumbai,MT,SR371,2023-09-22
5338715135,GC18373492,Direct,29,Wholesaler,West Bengal,East,Mumbai,MT,SR125,2023-05-01
5430747414,GC61378412,Direct,11,Online,Maharashtra,West,Mumbai,eCom,SR778,2024-02-11
5287484583,GC62155724,Indirect,17,Online,Karnataka,South,Delhi,eCom,SR532,2022-10-03
5071069472,GC54648162,Indirect,22,Rural,Karnataka,South,Bangalore,MT,SR124,2022-06-17
5226541099,GC18060935,Indirect,29,Rural,Delhi,North,Delhi,MT,SR811,2022-01-16
5980472440,GC44660198,Indirect,24,Modern Trade,Karnataka,South,Bangalore,GT,SR166,2022-07-01
5609004943,GC45522715,Indirect,29,Retailer,Maharashtra,West,Mumbai,MT,SR988,2022-12-18
5940992571,GC33881291,Indirect,18,Rural,Tamil Nadu,South,Bangalore,MT,SR381,2022-09-10
5770854579,GC69132953,Indirect,12,Wholesaler,Karnataka,South,Chennai,eCom,SR343,2023-06-18
5337882805,GC19314506,Indirect,12,Retailer,Maharashtra,West,Chennai,MT,SR397,2022-10-19
5228306011,GC75997780,Direct,11,Modern Trade,Maharashtra,West,Delhi,MT,SR706,2022-04-20
5703771909,GC36933352,Indirect,10,Online,Maharashtra,West,Delhi,MT,SR358,2022-01-26
5536045484,GC91913332,Indirect,23,Modern Trade,Karnataka,South,Bangalore,eCom,SR366,2023-01-04
5424806516,GC62698503,Direct,26,Retailer,Tamil Nadu,South,Bangalore,MT,SR433,2022-07-01
5949921299,GC33950102,Direct,22,Online,Karnataka,South,Bangalore,MT,SR472,2024-02-11
5981987993,GC96635285,Indirect,28,Wholesaler,Karnataka,South,Bangalore,GT,SR251,2022-07-05
5690256940,GC76042812,Indirect,24,Online,Maharashtra,West,Bangalore,MT,SR261,2022-04-23
5492688426,GC24553291,Direct,23,Online,Delhi,North,Chennai,GT,SR701,2022-07-20
5153407200,GC29310253,Direct,11,Wholesaler,West Bengal,East,Mumbai,GT,SR624,2022-06-12
5284412919,GC82562419,Indirect,16,Rural,Tamil Nadu,South,Chennai,eCom,SR129,2022-06-07
5149926919,GC67881875,Direct,26,Rural,Tamil Nadu,South,Bangalore,MT,SR324,2024-02-01
5264814270,GC39311339,Direct,27,Online,Maharashtra,West,Chennai,MT,SR444,2022-12-25
5799925830,GC92405160,Indirect,15,Online,West Bengal,East,Bangalore,GT,SR426,2023-09-02
5602764446,GC96347387,Indirect,17,Modern Trade,Karnataka,South,Delhi,GT,SR616,2023-07-19
5578722458,GC24260594,Direct,11,Rural,Karnataka,South,Chennai,GT,SR902,2023-05-28
5282116655,GC69268093,Indirect,10,Wholesaler,Maharashtra,West,Mumbai,GT,SR290,2024-06-14
5802099969,GC44761889,Indirect,25,Online,Maharashtra,West,Bangalore,MT,SR927,2023-07-07
5627694430,GC23862962,Direct,16,Online,West Bengal,East,Delhi,MT,SR589,2023-10-06
5460027313,GC14678950,Indirect,20,Modern Trade,West Bengal,East,Kolkata,GT,SR534,2022-09-06
5964029981,GC19787090,Indirect,24,Modern Trade,Tamil Nadu,South,Bangalore,MT,SR749,2023-10-16
5626563708,GC19450582,Indirect,22,Modern Trade,Delhi,North,Delhi,MT,SR131,2022-03-24
5428853029,GC86684568,Indirect,11,Retailer,Tamil Nadu,South,Kolkata,GT,SR727,2022-07-26
5388690725,GC43634472,Indirect,23,Wholesaler,Tamil Nadu,South,Kolkata,eCom,SR227,2024-03-31
5235493870,GC69845276,Direct,15,Retailer,West Bengal,East,Bangalore,eCom,SR124,2024-02-27
5148532577,GC12518567,Indirect,18,Online,Maharashtra,West,Kolkata,GT,SR361,2023-06-03
5547099690,GC76800348,Indirect,16,Modern Trade,Tamil Nadu,South,Chennai,eCom,SR270,2024-04-10
5529908599,GC29978882,Direct,27,Modern Trade,Maharashtra,West,Kolkata,GT,SR780,2024-02-03
5097613238,GC97626101,Direct,18,Modern Trade,Karnataka,South,Mumbai,MT,SR234,2022-08-08
5811514914,GC95944345,Indirect,13,Rural,Karnataka,South,Delhi,MT,SR498,2022-07-12
5050590821,GC10116452,Indirect,18,Wholesaler,Delhi,North,Chennai,GT,SR336,2022-02-13
5924602213,GC15078212,Direct,13,Retailer,Tamil Nadu,South,Chennai,eCom,SR281,2023-03-16
5117734861,GC99201885,Indirect,21,Wholesaler,Delhi,North,Chennai,MT,SR989,2023-01-23
5164112119,GC62409851,Direct,13,Modern Trade,West Bengal,East,Delhi,eCom,SR873,2022-01-14
5673715057,GC45760499,Indirect,29,Online,Karnataka,South,Bangalore,MT,SR554,2022-03-23
5171779360,GC30348410,Direct,23,Rural,Delhi,North,Mumbai,eCom,SR973,2023-09-24
5850488739,GC54269149,Indirect,16,Wholesaler,Karnataka,South,Mumbai,MT,SR503,2023-11-24
5730661141,GC62523472,Indirect,22,Online,Maharashtra,West,Mumbai,eCom,SR676,2023-11-06
5453290810,GC87126909,Indirect,17,Modern Trade,Tamil Nadu,South,Kolkata,eCom,SR334,2022-08-27
5640389325,GC10497109,Direct,14,Modern Trade,Delhi,North,Kolkata,MT,SR876,2023-04-27
5068212356,GC79173535,Indirect,21,Modern Trade,Delhi,North,Kolkata,GT,SR543,2023-01-24
5413140753,GC75857881,Direct,22,Modern Trade,Delhi,North,Kolkata,GT,SR406,2022-04-11
5409760584,GC74174787,Indirect,29,Rural,West Bengal,East,Delhi,eCom,SR656,2022-12-25
5639830322,GC68526669,Indirect,23,Rural,Tamil Nadu,South,Bangalore,MT,SR484,2023-08-21
5502564736,GC64212251,Direct,27,Wholesaler,Maharashtra,West,Kolkata,eCom,SR812,2022-07-06
5568132202,GC19408620,Indirect,29,Modern Trade,Karnataka,South,Bangalore,eCom,SR669,2023-06-02
5269953851,GC82494849,Indirect,13,Rural,Karnataka,South,Bangalore,MT,SR871,2023-01-20
5594021782,GC40312650,Indirect,27,Online,Delhi,North,Kolkata,MT,SR629,2022-01-06
5924255163,GC10443906,Indirect,16,Rural,Tamil Nadu,South,Chennai,MT,SR515,2024-06-16
5012327652,GC61596498,Direct,24,Rural,West Bengal,East,Delhi,eCom,SR424,2022-03-04
5730448745,GC74701849,Direct,15,Wholesaler,West Bengal,East,Chennai,GT,SR211,2023-12-19
5773869166,GC26267678,Indirect,25,Rural,West Bengal,East,Chennai,MT,SR958,2024-03-14
5122998994,GC86134185,Indirect,29,Online,West Bengal,East,Kolkata,GT,SR581,2023-04-19
5731980933,GC81847296,Indirect,17,Modern Trade,Karnataka,South,Bangalore,GT,SR318,2023-06-25
5950034367,GC58173202,Indirect,25,Retailer,Karnataka,South,Delhi,eCom,SR582,2023-04-08
5576567501,GC54753520,Indirect,25,Wholesaler,West Bengal,East,Delhi,MT,SR150,2022-12-05
5806248900,GC50644896,Indirect,12,Online,Karnataka,South,Mumbai,GT,SR738,2022-06-12
5286501362,GC63769608,Indirect,26,Wholesaler,Tamil Nadu,South,Mumbai,MT,SR712,2023-01-26
5825276600,GC17408103,Indirect,18,Modern Trade,Delhi,North,Delhi,GT,SR748,2023-06-08
5688227492,GC94862181,Indirect,12,Rural,Tamil Nadu,South,Mumbai,eCom,SR347,2023-06-13
5365260635,GC96848857,Indirect,29,Rural,Delhi,North,Chennai,GT,SR150,2022-11-27
5119778234,GC22169115,Direct,16,Online,Delhi,North,Mumbai,eCom,SR255,2023-02-02
5315143362,GC59037166,Direct,27,Modern Trade,Maharashtra,West,Bangalore,GT,SR133,2023-03-10
5466825638,GC81756326,Indirect,21,Retailer,Maharashtra,West,Delhi,MT,SR772,2024-04-21
5169820594,GC55642455,Indirect,28,Retailer,Karnataka,South,Delhi,GT,SR818,2024-03-16
5487182120,GC20798726,Direct,25,Rural,Tamil Nadu,South,Chennai,GT,SR589,2023-03-09
5003484630,GC71691749,Direct,26,Modern Trade,West Bengal,East,Mumbai,eCom,SR591,2022-07-20
5775340444,GC48917593,Indirect,29,Modern Trade,Karnataka,South,Kolkata,MT,SR291,2022-02-21
5940439931,GC96945247,Direct,24,Online,Delhi,North,Delhi,GT,SR916,2024-05-10
5772751234,GC37262368,Direct,10,Retailer,Maharashtra,West,Kolkata,MT,SR854,2023-01-19
5282811832,GC33705307,Indirect,11,Online,Karnataka,South,Kolkata,GT,SR110,2022-07-08
5537500247,GC84420438,Indirect,17,Wholesaler,Delhi,North,Kolkata,GT,SR850,2023-09-05
5818150683,GC15278941,Indirect,11,Modern Trade,Karnataka,South,Delhi,eCom,SR911,2024-01-31
5191825997,GC61561575,Direct,28,Retailer,West Bengal,East,Delhi,MT,SR794,2023-07-12
5545119047,GC98682228,Indirect,18,Online,Tamil Nadu,South,Chennai,eCom,SR624,2022-12-19
5979926683,GC35636010,Direct,18,Rural,Tamil Nadu,South,Delhi,eCom,SR637,2024-02-11
5114257751,GC50113698,Indirect,22,Wholesaler,Maharashtra,West,Chennai,MT,SR992,2023-08-24
5934712197,GC62358969,Indirect,15,Online,Delhi,North,Bangalore,MT,SR163,2023-07-13
5671410971,GC24330160,Indirect,24,Rural,Karnataka,South,Kolkata,MT,SR522,2022-06-20
5320452650,GC94639988,Indirect,28,Retailer,Maharashtra,West,Mumbai,GT,SR497,2024-02-02
5903735581,GC58219211,Indirect,24,Retailer,Karnataka,South,Kolkata,GT,SR735,2022-06-20
5686066793,GC75297400,Indirect,27,Wholesaler,Tamil Nadu,South,Chennai,MT,SR795,2022-03-20
5545098869,GC21390049,Direct,16,Rural,Karnataka,South,Mumbai,eCom,SR521,2024-01-24
5653876785,GC94931806,Indirect,20,Modern Trade,Maharashtra,West,Delhi,MT,SR814,2023-06-14
5213579170,GC68785183,Direct,17,Retailer,Tamil Nadu,South,Bangalore,GT,SR256,2023-12-01
5164109919,GC35429494,Direct,15,Modern Trade,Delhi,North,Bangalore,eCom,SR225,2022-12-24
5401486939,GC28782825,Indirect,17,Modern Trade,Tamil Nadu,South,Kolkata,eCom,SR368,2023-12-22
5818739736,GC14791343,Indirect,11,Online,Karnataka,South,Kolkata,GT,SR763,2024-01-24
5173461957,GC35916466,Indirect,28,Online,Karnataka,South,Bangalore,GT,SR746,2023-11-07
5579153816,GC13404379,Indirect,25,Retailer,Delhi,North,Delhi,eCom,SR497,2023-01-29
5836043811,GC89583788,Indirect,16,Modern Trade,Delhi,North,Kolkata,eCom,SR471,2024-03-16
5990456049,GC42008932,Indirect,19,Online,Maharashtra,West,Chennai,GT,SR800,2022-10-25
5569462919,GC75663681,Indirect,21,Rural,Karnataka,South,Delhi,MT,SR704,2023-09-13
5986224887,GC62179495,Indirect,26,Rural,Delhi,North,Chennai,eCom,SR815,2023-01-19
5000614068,GC18454727,Direct,16,Rural,Delhi,North,Mumbai,MT,SR169,2024-05-08
5643111853,GC82551667,Indirect,17,Rural,Maharashtra,West,Kolkata,eCom,SR635,2022-12-06
5348059918,GC96356711,Direct,16,Modern Trade,Tamil Nadu,South,Delhi,GT,SR935,2024-01-22
5524636385,GC51302939,Direct,13,Rural,Tamil Nadu,South,Mumbai,GT,SR160,2022-07-11
5020912992,GC77066471,Indirect,12,Modern Trade,Delhi,North,Chennai,eCom,SR298,2022-02-14
5120117054,GC81664219,Direct,28,Retailer,Delhi,North,Chennai,GT,SR533,2023-10-05
5997612044,GC70305001,Indirect,24,Retailer,Tamil Nadu,South,Kolkata,MT,SR848,2022-07-16
5389747629,GC12203625,Indirect,13,Rural,Tamil Nadu,South,Delhi,MT,SR454,2022-08-29
5943520428,GC14971784,Indirect,18,Rural,Delhi,North,Mumbai,eCom,SR174,2022-05-30
5892994062,GC55538076,Indirect,22,Rural,Delhi,North,Chennai,MT,SR271,2022-12-13
5866267851,GC17523501,Direct,27,Retailer,Delhi,North,Delhi,MT,SR166,2022-12-03
5330190783,GC55327823,Indirect,25,Online,Delhi,North,Mumbai,GT,SR733,2022-01-12
5257109965,GC15746469,Indirect,10,Retailer,Karnataka,South,Delhi,eCom,SR669,2023-08-03
5062196678,GC64426343,Indirect,13,Rural,Maharashtra,West,Chennai,GT,SR205,2022-03-24
5258633898,GC25862805,Indirect,27,Online,Delhi,North,Chennai,GT,SR494,2023-06-09
5942755630,GC38410963,Indirect,17,Online,Maharashtra,West,Mumbai,GT,SR150,2023-12-03
5609194872,GC97758252,Direct,29,Wholesaler,West Bengal,East,Delhi,GT,SR706,2022-10-14
5084564737,GC99565693,Indirect,25,Modern Trade,West Bengal,East,Bangalore,GT,SR218,2023-11-04
5091969690,GC80211929,Indirect,20,Rural,Karnataka,South,Mumbai,eCom,SR286,2024-02-22
5785879795,GC71521428,Indirect,29,Modern Trade,Karnataka,South,Bangalore,GT,SR764,2023-04-09
5521828280,GC82016051,Direct,28,Wholesaler,Maharashtra,West,Mumbai,GT,SR718,2022-08-28
5876198296,GC29992217,Indirect,28,Modern Trade,Karnataka,South,Chennai,eCom,SR473,2022-03-23
5074316370,GC87758465,Indirect,27,Rural,Maharashtra,West,Bangalore,eCom,SR105,2023-01-31
5816690353,GC41270805,Indirect,28,Wholesaler,Delhi,North,Bangalore,MT,SR570,2022-02-10
5571988889,GC19668169,Indirect,20,Modern Trade,Karnataka,South,Chennai,eCom,SR569,2023-10-24
5822308461,GC14949636,Direct,12,Retailer,Maharashtra,West,Bangalore,eCom,SR330,2023-05-29
5135034324,GC29003951,Indirect,17,Online,Karnataka,South,Bangalore,MT,SR750,2023-10-01
5137859287,GC75618337,Indirect,29,Wholesaler,Maharashtra,West,Mumbai,MT,SR712,2023-12-12
5708402051,GC97755782,Direct,28,Retailer,Maharashtra,West,Kolkata,eCom,SR185,2023-02-13
5510330567,GC12558593,Indirect,19,Rural,West Bengal,East,Kolkata,eCom,SR762,2023-02-09
5590347116,GC73246028,Indirect,25,Online,Tamil Nadu,South,Bangalore,eCom,SR346,2023-07-19
5177303722,GC92996496,Indirect,14,Wholesaler,Tamil Nadu,South,Delhi,MT,SR222,2023-05-12
5284602384,GC16147399,Indirect,29,Online,Delhi,North,Delhi,GT,SR742,2024-05-23
5566585408,GC42572300,Indirect,18,Wholesaler,Maharashtra,West,Delhi,MT,SR325,2022-03-29
5936767846,GC97078639,Indirect,17,Wholesaler,Delhi,North,Delhi,eCom,SR745,2023-10-23
5651325257,GC27520478,Direct,20,Modern Trade,Delhi,North,Chennai,GT,SR344,2024-02-05
